pays,ville_1,ville_2,distance_km
Allemagne,Berlin,Cologne,477.3
Allemagne,Berlin,Francfort,423.5
Allemagne,Berlin,Hambourg,255.3
Allemagne,Berlin,Munich,504.4
Allemagne,Cologne,Francfort,152.5
Allemagne,Hambourg,Cologne,356.5
Allemagne,Hambourg,Francfort,393.0
Allemagne,Hambourg,Munich,612.4
Allemagne,Munich,Cologne,456.3
Allemagne,Munich,Francfort,304.6
Belgique,Anvers,Charleroi,89.9
Belgique,Anvers,Gand,51.2
Belgique,Anvers,Liège,105.2
Belgique,Bruxelles,Anvers,41.2
Belgique,Bruxelles,Charleroi,49.2
Belgique,Bruxelles,Gand,49.9
Belgique,Bruxelles,Liège,89.7
Belgique,Charleroi,Liège,83.9
Belgique,Gand,Charleroi,87.9
Belgique,Gand,Liège,138.9
Cameroun,Bafoussam,Bamenda,60.9
Cameroun,Bafoussam,Bertoua,375.5
Cameroun,Bafoussam,Ebolowa,298.1
Cameroun,Bafoussam,Kribi,287.3
Cameroun,Bafoussam,Ngaoundéré,405.8
Cameroun,Bamenda,Bertoua,419.6
Cameroun,Bamenda,Ebolowa,357.9
Cameroun,Bamenda,Kribi,336.7
Cameroun,Bamenda,Ngaoundéré,407.4
Cameroun,Bertoua,Ebolowa,337.7
Cameroun,Bertoua,Kribi,456.1
Cameroun,Douala,Bafoussam,174.3
Cameroun,Douala,Bamenda,217.0
Cameroun,Douala,Bertoua,438.1
Cameroun,Douala,Ebolowa,199.6
Cameroun,Douala,Garoua,708.1
Cameroun,Douala,Kribi,124.1
Cameroun,Douala,Maroua,883.8
Cameroun,Douala,Ngaoundéré,557.6
Cameroun,Douala,Yaoundé,193.7
Cameroun,Ebolowa,Kribi,137.1
Cameroun,Garoua,Bafoussam,537.3
Cameroun,Garoua,Bamenda,514.9
Cameroun,Garoua,Bertoua,526.2
Cameroun,Garoua,Ebolowa,754.1
Cameroun,Garoua,Kribi,804.9
Cameroun,Garoua,Maroua,175.7
Cameroun,Garoua,Ngaoundéré,220.2
Cameroun,Maroua,Bafoussam,712.8
Cameroun,Maroua,Bamenda,689.0
Cameroun,Maroua,Bertoua,672.5
Cameroun,Maroua,Ebolowa,924.4
Cameroun,Maroua,Kribi,979.7
Cameroun,Maroua,Ngaoundéré,371.8
Cameroun,Ngaoundéré,Bertoua,306.2
Cameroun,Ngaoundéré,Ebolowa,561.6
Cameroun,Ngaoundéré,Kribi,634.6
Cameroun,Yaoundé,Bafoussam,217.6
Cameroun,Yaoundé,Bamenda,278.2
Cameroun,Yaoundé,Bertoua,255.1
Cameroun,Yaoundé,Ebolowa,112.7
Cameroun,Yaoundé,Garoua,641.4
Cameroun,Yaoundé,Kribi,203.0
Cameroun,Yaoundé,Maroua,811.8
Cameroun,Yaoundé,Ngaoundéré,450.3
Canada,Calgary,Edmonton,280.9
Canada,Calgary,Hamilton,2699.1
Canada,Calgary,Mississauga,2696.2
Canada,Calgary,Ottawa,2875.6
Canada,Calgary,Québec,3121.2
Canada,Calgary,Winnipeg,1202.6
Canada,Edmonton,Hamilton,2700.3
Canada,Edmonton,Mississauga,2692.9
Canada,Edmonton,Ottawa,2837.3
Canada,Edmonton,Québec,3053.9
Canada,Edmonton,Winnipeg,1194.3
Canada,Mississauga,Hamilton,41.3
Canada,Mississauga,Québec,751.4
Canada,Mississauga,Winnipeg,1501.2
Canada,Montréal,Calgary,3020.2
Canada,Montréal,Edmonton,2973.1
Canada,Montréal,Hamilton,559.6
Canada,Montréal,Mississauga,526.3
Canada,Montréal,Ottawa,166.3
Canada,Montréal,Québec,233.0
Canada,Montréal,Vancouver,3686.3
Canada,Montréal,Winnipeg,1821.9
Canada,Ottawa,Hamilton,410.0
Canada,Ottawa,Mississauga,373.4
Canada,Ottawa,Québec,379.0
Canada,Ottawa,Winnipeg,1674.4
Canada,Québec,Hamilton,786.7
Canada,Toronto,Calgary,2710.8
Canada,Toronto,Edmonton,2705.7
Canada,Toronto,Hamilton,59.2
Canada,Toronto,Mississauga,22.2
Canada,Toronto,Montréal,504.3
